,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
61,"With the [[extension]] of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .","With the [[prolongation]] of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",0.0006594061851501,0.9983819127082824,2,0,2,110,Successful,"With the prolongation of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",0
62,"`` The second quarter of 2010 was the firstquarter with [[growth]] in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .","`` The second quarter of 2010 was the firstquarter with [[development]] in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",0.0005601048469543,0.594188928604126,2,1,2,112,Successful,"`` The second quarter of 2010 was the firstquarter with development in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",1
63,[[1]] February 2011 - Finnish [[textile]] and [[clothing]] [[company]] Marimekko Oyj [[HEL]] : MMO1V [[said]] [[today]] its preliminary operating [[profit]] [[grew]] to EUR8 .[[2]] m in 2010 from EUR6 .[[3]] m in 2009 .,[[one]] February 2011 - Finnish [[material]] and [[tog]] [[caller]] Marimekko Oyj [[Hel]] : MMO1V [[state]] [[nowadays]] its preliminary operating [[earnings]] [[produce]] to EUR8 .[[two]] m in 2010 from EUR6 .[[troika]] m in 2009 .,0.0006306767463684,0.5918018221855164,2,1,2,236,Successful,one February 2011 - Finnish material and tog caller Marimekko Oyj Hel : MMO1V state nowadays its preliminary operating earnings produce to EUR8 .two m in 2010 from EUR6 .troika m in 2009 .,1
64,Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the [[aim]] of growing [[together]] with its customers .,Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the [[get]] of growing [[unitedly]] with its customers .,0.0039465427398681,0.6302565336227417,1,2,1,103,Successful,Finnish Componenta has published its new long-term strategy for the period 2011-2015 with the get of growing unitedly with its customers .,2
65,Affecto expects its net sales for the whole 2010 to [[increase]] from the 2009 level when they reached EUR 103 million .,Affecto expects its net sales for the whole 2010 to [[addition]] from the 2009 level when they reached EUR 103 million .,0.0005225539207458,0.9375800490379332,2,1,2,105,Successful,Affecto expects its net sales for the whole 2010 to addition from the 2009 level when they reached EUR 103 million .,1
66,"Elisa said mobile subscriptions [[grew]] 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .","Elisa said mobile subscriptions [[originate]] 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",0.0005840063095092,0.9994513988494872,2,1,2,111,Successful,"Elisa said mobile subscriptions originate 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",1
67,"However , the proportion of the paid standing orders [[grew]] in 2009 .","However , the proportion of the paid standing orders [[originate]] in 2009 .",0.0006595253944396,0.999659299850464,2,1,2,102,Successful,"However , the proportion of the paid standing orders originate in 2009 .",1
68,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales [[reached]] 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .","Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales [[strain]] 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",0.0005967617034912,0.9976826310157776,2,0,2,249,Successful,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales strain 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",0
69,Olvi expects sales and market share to [[increase]] in the first quarter of 2010 .,Olvi expects sales and market share to [[addition]] in the first quarter of 2010 .,0.0005160570144653,0.5609002113342285,2,1,2,73,Successful,Olvi expects sales and market share to addition in the first quarter of 2010 .,1
70,Operating [[profit]] increased to EUR 14.[[0]] mn from EUR [[4]].[[9]] mn in the [[corresponding]] [[period]] in 2005 .,Operating [[gain]] increased to EUR 14.[[cypher]] mn from EUR [[quaternary]].[[ennead]] mn in the [[tally]] [[flow]] in 2005 .,0.0006361603736877,0.690039873123169,2,1,2,132,Successful,Operating gain increased to EUR 14.cypher mn from EUR quaternary.ennead mn in the tally flow in 2005 .,1
71,[[Operating]] profit of the Asian plants [[grew]] markedly .,[[control]] profit of the Asian plants [[originate]] markedly .,0.0005853176116943,0.9734936952590942,2,1,2,82,Successful,control profit of the Asian plants originate markedly .,1
72,Sales in Finland [[rose]] by 3.9 % and international growth was [[0]].7 % .,Sales in Finland [[rebel]] by 3.9 % and international growth was [[zero]].7 % .,0.0005885362625122,0.987765610218048,2,0,2,107,Successful,Sales in Finland rebel by 3.9 % and international growth was zero.7 % .,0
73,"The [[company]] is now intensifying its [[smelter]] operations and [[increasing]] its [[annual]] production [[capacity]] to 230,000 [[tonnes]] of copper .","The [[troupe]] is now intensifying its [[smeltery]] operations and [[increase]] its [[one-year]] production [[capacitance]] to 230,000 [[MT]] of copper .",0.0005510449409484,0.0005966424942016,2,2,2,90,Failed,"The troupe is now intensifying its smeltery operations and increase its one-year production capacitance to 230,000 MT of copper .",2
74,"The company said that its investments in the new market areas [[resulted]] in sales [[increase]] in Sweden , Poland , Russia and Lithuania .","The company said that its investments in the new market areas [[leave]] in sales [[increment]] in Sweden , Poland , Russia and Lithuania .",0.0005239844322204,0.9997346997261048,2,1,2,88,Successful,"The company said that its investments in the new market areas leave in sales increment in Sweden , Poland , Russia and Lithuania .",1
75,"The disposal of Autotank will also [[strengthen]] Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .","The disposal of Autotank will also [[tone]] Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",0.0005720257759094,0.9995375275611876,2,1,2,36,Successful,"The disposal of Autotank will also tone Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",1
76,The pretax profit of the group 's life insurance [[business]] increased to EUR 36 million from EUR 27 [[million]] .,The pretax profit of the group 's life insurance [[occupation]] increased to EUR 36 million from EUR 27 [[zillion]] .,0.0007846355438232,0.5147340893745422,2,1,2,83,Successful,The pretax profit of the group 's life insurance occupation increased to EUR 36 million from EUR 27 zillion .,1
77,The pretax [[profit]] of the [[group]] 's [[life]] [[insurance]] [[business]] increased to EUR36m from EUR27m .,The pretax [[lucre]] of the [[radical]] 's [[biography]] [[policy]] [[occupation]] increased to EUR36m from EUR27m .,0.0007553100585937,0.0338867306709289,2,2,2,69,Failed,The pretax lucre of the radical 's biography policy occupation increased to EUR36m from EUR27m .,2
78,"Xerox and Stora Enso have teamed up to [[tailor]] the iGen3 to the short-run , on-demand packaging market .","Xerox and Stora Enso have teamed up to [[cut]] the iGen3 to the short-run , on-demand packaging market .",0.0006329417228698,0.9989950656890868,2,0,2,36,Successful,"Xerox and Stora Enso have teamed up to cut the iGen3 to the short-run , on-demand packaging market .",0
79,"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .","As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .",0.9835703372955322,0.9835703372955322,2,2,1,1,Skipped,"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .",2
80,"Separately , YIT Corporation and Austrian firm E AG last week [[signed]] an [[agreement]] on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .","Separately , YIT Corporation and Austrian firm E AG last week [[subscribe]] an [[concord]] on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",0.0006916522979736,0.9983588457107544,2,1,2,161,Successful,"Separately , YIT Corporation and Austrian firm E AG last week subscribe an concord on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",1
81,The company intends to [[raise]] production capacity in 2006 .,The company intends to [[rear]] production capacity in 2006 .,0.0005413889884948,0.99923175573349,2,0,2,101,Successful,The company intends to rear production capacity in 2006 .,0
82,"[[As]] earlier reported , Nokian [[Tyres]] is [[building]] a [[plant]] in the [[town]] of Vsevolozhsk in Russia 's Leningrad Region with an [[annual]] production [[capacity]] of [[4]] million tires .","[[arsenic]] earlier reported , Nokian [[Tyre]] is [[make]] a [[establish]] in the [[townsfolk]] of Vsevolozhsk in Russia 's Leningrad Region with an [[one-year]] production [[capability]] of [[quadruplet]] million tires .",0.000551164150238,0.6882418394088745,1,2,1,168,Successful,"arsenic earlier reported , Nokian Tyre is make a establish in the townsfolk of Vsevolozhsk in Russia 's Leningrad Region with an one-year production capability of quadruplet million tires .",2
83,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .","Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",0.8345324397087097,0.8345324397087097,0,0,1,1,Skipped,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",0
84,Finnish business software group AffectoGenimap Oyj said it had signed an [[agreement]] to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,Finnish business software group AffectoGenimap Oyj said it had signed an [[concord]] to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,0.0051883459091186,0.8926340341567993,2,1,2,131,Successful,Finnish business software group AffectoGenimap Oyj said it had signed an concord to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,1
85,"In Russia , Raisio 's Food Division 's home market [[stretches]] all the way to Vladivostok .","In Russia , Raisio 's Food Division 's home market [[stretchability]] all the way to Vladivostok .",0.0026145577430725,0.9485273361206056,1,2,1,87,Successful,"In Russia , Raisio 's Food Division 's home market stretchability all the way to Vladivostok .",2
86,Increase in the number of shares is [[based]] on the option rights which were granted to the management of the company under the stock option plan 2006 .,Increase in the number of shares is [[ground]] on the option rights which were granted to the management of the company under the stock option plan 2006 .,0.0008354187011718,0.9709498286247252,1,2,1,129,Successful,Increase in the number of shares is ground on the option rights which were granted to the management of the company under the stock option plan 2006 .,2
87,"is planning to [[expand]] its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .","is planning to [[lucubrate]] its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",0.0027611255645751,0.999543845653534,2,1,2,100,Successful,"is planning to lucubrate its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",1
88,Ramirent s Danish subsidiary Ramirent A-S has today signed an [[agreement]] to [[acquire]] the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,Ramirent s Danish subsidiary Ramirent A-S has today signed an [[concord]] to [[assume]] the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,0.0006103515625,0.9976382851600648,2,1,2,108,Successful,Ramirent s Danish subsidiary Ramirent A-S has today signed an concord to assume the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,1
89,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , [[developing]] all types of premium residential and commercial projects for sale and investment .","The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , [[modernize]] all types of premium residential and commercial projects for sale and investment .",0.0083664655685424,0.9955809116363524,1,2,1,182,Successful,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , modernize all types of premium residential and commercial projects for sale and investment .",2
90,"The contract , which was signed yesterday , will [[run]] for five years and includes a two-year extension option .","The contract , which was signed yesterday , will [[streamlet]] for five years and includes a two-year extension option .",0.0020047426223754,0.9962531924247742,1,2,1,178,Successful,"The contract , which was signed yesterday , will streamlet for five years and includes a two-year extension option .",2
91,"The contract [[covers]] installation , training and start-up services .","The contract [[extend]] installation , training and start-up services .",0.0005089044570922,0.999052882194519,1,2,1,138,Successful,"The contract extend installation , training and start-up services .",2
92,"The OMX Nordic 40 ( OMXN40 ) [[index]] , comprising the 40 most traded Nordic [[stocks]] on the Nasdaq OMX exchange , [[closed]] up [[1]].[[29]] % at 1,084.47 points on Friday .","The OMX Nordic 40 ( OMXN40 ) [[forefinger]] , comprising the 40 most traded Nordic [[neckcloth]] on the Nasdaq OMX exchange , [[fold]] up [[single]].[[twenty-nine]] % at 1,084.47 points on Friday .",0.0005702376365661,0.943035900592804,2,1,2,203,Successful,"The OMX Nordic 40 ( OMXN40 ) forefinger , comprising the 40 most traded Nordic neckcloth on the Nasdaq OMX exchange , fold up single.twenty-nine % at 1,084.47 points on Friday .",1
93,To be number one [[means]] creating added [[value]] for stakeholders in everything we do .,To be number one [[agency]] creating added [[esteem]] for stakeholders in everything we do .,0.0014562606811523,0.6607848405838013,1,2,1,98,Successful,To be number one agency creating added esteem for stakeholders in everything we do .,2
94,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has [[signed]] a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR","- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has [[sign-language]] a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",0.0006109476089477,0.548137903213501,2,1,2,242,Successful,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has sign-language a China mobile phone dealer financing agreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",1
95,`` Residentialconstruction in particular has [[picked]] up in several markets .,`` Residentialconstruction in particular has [[foot]] up in several markets .,0.0006418824195861,0.9972862601280212,2,1,2,48,Successful,`` Residentialconstruction in particular has foot up in several markets .,1
96,"After the transaction , Alma Media [[raised]] its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .","After the transaction , Alma Media [[leaven]] its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",0.0005412697792053,0.9996277689933776,2,1,2,140,Successful,"After the transaction , Alma Media leaven its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",1
97,"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has [[developed]] an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .","ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has [[explicate]] an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .",0.0014619827270507,0.8977066278457642,1,0,1,194,Successful,"ALEXANDRIA , Va. , July 11 -- Hannu Kahonen of Juuka , Finland , has explicate an ornamental design for a handle for fire pit door , the U.S. Patent & Trademark Office announced .",0
98,"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has [[developed]] an ornamental design for a handset , the U.S. Patent & Trademark Office announced .","ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has [[modernise]] an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",0.0010395050048828,0.993506133556366,1,2,1,152,Successful,"ALEXANDRIA , Va. , May 16 -- Kenneth Bower of Vista , Calif. , has modernise an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",2
99,Calls to the switchboard and directory services have [[decreased]] significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,Calls to the switchboard and directory services have [[minify]] significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,0.062817096710205,0.9993686676025392,1,2,1,172,Successful,Calls to the switchboard and directory services have minify significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,2
100,Following the [[increase]] the company+óEUR TM s capital [[totals]] 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,Following the [[growth]] the company+óEUR TM s capital [[add]] 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,0.0008013844490051,0.996818482875824,1,2,1,130,Successful,Following the growth the company+óEUR TM s capital add 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,2
101,"In 2008 , it [[generated]] [[net]] sales of EUR 9.[[3]] million USD 13.[[1]] m .","In 2008 , it [[engender]] [[sack]] sales of EUR 9.[[deuce-ace]] million USD 13.[[ace]] m .",0.0006322264671325,0.9838716387748718,1,0,1,140,Successful,"In 2008 , it engender sack sales of EUR 9.deuce-ace million USD 13.ace m .",0
102,"In August , Latvijas Finieris [[ordered]] all production [[lines]] for a new green veneer [[mill]] to be built in Ukmerge , Lithuania .","In August , Latvijas Finieris [[regularize]] all production [[pipeline]] for a new green veneer [[factory]] to be built in Ukmerge , Lithuania .",0.0015560984611511,0.8109248876571655,1,2,1,203,Successful,"In August , Latvijas Finieris regularize all production pipeline for a new green veneer factory to be built in Ukmerge , Lithuania .",2
103,Jacobs has been [[supporting]] Storengy 's investment of [[developing]] storage [[sites]] since 2006 as owner 's engineer .,Jacobs has been [[encouraging]] Storengy 's investment of [[modernize]] storage [[posture]] since 2006 as owner 's engineer .,0.0007004737854003,0.5494683384895325,1,2,1,153,Successful,Jacobs has been encouraging Storengy 's investment of modernize storage posture since 2006 as owner 's engineer .,2
104,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and [[halt]] production .,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and [[check]] production .,0.0021750926971435,0.9873544573783876,0,1,0,118,Successful,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and check production .,1
105,[[Rental]] of [[building]] equipment accounted for 88 [[percent]] of the [[operating]] income .,[[renting]] of [[construct]] equipment accounted for 88 [[percentage]] of the [[work]] income .,0.0005735158920288,0.001271903514862,1,1,1,73,Failed,renting of construct equipment accounted for 88 percentage of the work income .,1
106,Sanoma will continue to [[focus]] on investing in digital media and on [[strengthening]] its market positions .,Sanoma will continue to [[sharpen]] on investing in digital media and on [[strengthen]] its market positions .,0.0019049048423767,0.8903307318687439,1,2,1,108,Successful,Sanoma will continue to sharpen on investing in digital media and on strengthen its market positions .,2
107,"The [[acquisition]] is part of Suomen Helasto 's strategy to [[expand]] the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .","The [[accomplishment]] is part of Suomen Helasto 's strategy to [[amplify]] the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .",0.0013343095779418,0.7625715732574463,1,2,1,104,Successful,"The accomplishment is part of Suomen Helasto 's strategy to amplify the LukkoExpert Security chain , Suomen Helasto CEO Kimmo Uusimaki said .",2
108,"The corresponding share capital increase , EUR 1,012,945.50 was [[entered]] in the Trade Register today .","The corresponding share capital increase , EUR 1,012,945.50 was [[record]] in the Trade Register today .",0.0008248686790466,0.9937386512756348,1,2,1,104,Successful,"The corresponding share capital increase , EUR 1,012,945.50 was record in the Trade Register today .",2
109,The expansion includes the [[doubling]] of the floor space and the addition of more lifting capacity and production equipment .,The expansion includes the [[reduplicate]] of the floor space and the addition of more lifting capacity and production equipment .,0.1708084940910339,0.9615715742111206,2,1,2,86,Successful,The expansion includes the reduplicate of the floor space and the addition of more lifting capacity and production equipment .,1
110,The phones are [[targeted]] at [[first]] time users in [[growth]] markets .,The phones are [[point]] at [[world-class]] time users in [[growing]] markets .,0.0011754631996154,0.7938474416732788,1,2,1,92,Successful,The phones are point at world-class time users in growing markets .,2
111,"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to [[collect]] irrevocable selling commitments from the holders of its subordinated debenture bonds .","The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to [[accumulate]] irrevocable selling commitments from the holders of its subordinated debenture bonds .",0.0006352066993713,0.956850528717041,1,2,1,128,Successful,"The repayment of EUR 105 million debenture bonds is related to the Company 's previous announcement on October 21 , 2009 to accumulate irrevocable selling commitments from the holders of its subordinated debenture bonds .",2
112,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should [[double]] Atria Russia 's production capacity in the St Petersburg area .","The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should [[duple]] Atria Russia 's production capacity in the St Petersburg area .",0.0006517767906188,0.998464822769165,2,0,2,142,Successful,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should duple Atria Russia 's production capacity in the St Petersburg area .",0
113,U.S. District Judge Douglas P. Woodlock yesterday [[extended]] a Jan. 17 temporary restraining order until March [[7]] .,U.S. District Judge Douglas P. Woodlock yesterday [[prolong]] a Jan. 17 temporary restraining order until March [[heptad]] .,0.0029121041297912,0.9024882912635804,1,0,1,183,Successful,U.S. District Judge Douglas P. Woodlock yesterday prolong a Jan. 17 temporary restraining order until March heptad .,0
114,"UK 's Sarantel to outsource [[part]] of its [[processes]] to Elcoteq plant in [[Estonia]] LONDON , Oct 13 , BNS - The British miniature antennas [[maker]] Sarantel has [[signed]] an agreement to outsource its [[assembly]] test and [[supply]] [[chain]] [[processes]] to the [[plant]] of Elcoteq in the Estonian capital Tallinn .","UK 's Sarantel to outsource [[contribution]] of its [[summons]] to Elcoteq plant in [[Esthonia]] LONDON , Oct 13 , BNS - The British miniature antennas [[Godhead]] Sarantel has [[ratify]] an agreement to outsource its [[assemblage]] test and [[provide]] [[string]] [[serve]] to the [[implant]] of Elcoteq in the Estonian capital Tallinn .",0.0006215572357177,0.7189993858337402,1,2,1,289,Successful,"UK 's Sarantel to outsource contribution of its summons to Elcoteq plant in Esthonia LONDON , Oct 13 , BNS - The British miniature antennas Godhead Sarantel has ratify an agreement to outsource its assemblage test and provide string serve to the implant of Elcoteq in the Estonian capital Tallinn .",2
115,"[[Earnings]] per [[share]] ( EPS ) for the [[first]] [[quarter]] 2007 [[amounted]] to EUR0 .07 , up from EUR0 .04 .","[[salary]] per [[deal]] ( EPS ) for the [[low]] [[one-fourth]] 2007 [[total]] to EUR0 .07 , up from EUR0 .04 .",0.0007144808769226,0.0065852403640747,2,2,2,127,Failed,"salary per deal ( EPS ) for the low one-fourth 2007 total to EUR0 .07 , up from EUR0 .04 .",2
116,"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its [[capital]] by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .","Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its [[uppercase]] by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",0.0005137920379638,0.8308692574501038,2,1,2,74,Successful,"Ruukki Romania , the local arm of Finnish metal producer Ruukki , increased its uppercase by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",1
117,The [[growth]] of [[net]] sales has [[continued]] favourably in the [[Middle]] [[East]] and Africaand in Asia [[Pacific]] .,The [[increment]] of [[last]] sales has [[remain]] favourably in the [[midriff]] [[Orient]] and Africaand in Asia [[peaceable]] .,0.0006042718887329,0.0011793971061706,2,2,2,120,Failed,The increment of last sales has remain favourably in the midriff Orient and Africaand in Asia peaceable .,2
118,"[[Following]] the [[increase]] , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares [[outstanding]] is 105,501,850 .","[[pursuit]] the [[growth]] , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares [[spectacular]] is 105,501,850 .",0.0005556941032409,0.8244960308074951,1,2,1,136,Successful,"pursuit the growth , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares spectacular is 105,501,850 .",2
119,"[[Following]] this [[increase]] Huhtamaki 's [[registered]] share capital is EUR360 .62 m and the number of shares [[outstanding]] is 106,063,320 .","[[pursuit]] this [[growth]] Huhtamaki 's [[record]] share capital is EUR360 .62 m and the number of shares [[spectacular]] is 106,063,320 .",0.0006755590438842,0.6192001104354858,1,2,1,150,Successful,"pursuit this growth Huhtamaki 's record share capital is EUR360 .62 m and the number of shares spectacular is 106,063,320 .",2
120,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole [[authority]] to develop discovered compounds .","Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole [[confidence]] to develop discovered compounds .",0.0010554194450378,0.9933599829673768,1,2,1,168,Successful,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole confidence to develop discovered compounds .",2
121,"`` Our extensive co-operation will [[also]] [[bolster]] SysOpen Digia 's [[position]] in the domestic [[operator]] market , '' Kallioranta adds .","`` Our extensive co-operation will [[too]] [[pad]] SysOpen Digia 's [[office]] in the domestic [[manipulator]] market , '' Kallioranta adds .",0.0005948543548583,0.9888486266136168,2,1,2,109,Successful,"`` Our extensive co-operation will too pad SysOpen Digia 's office in the domestic manipulator market , '' Kallioranta adds .",1
122,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's [[market]] share from 27 % to a third in a couple of years .","Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's [[mart]] share from 27 % to a third in a couple of years .",0.0132364630699157,0.9923149347305298,2,1,2,112,Successful,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's mart share from 27 % to a third in a couple of years .",1
123,"Finnish Cargotec 's Kalmar , the [[business]] [[area]] providing container [[handling]] [[solutions]] , has been [[awarded]] an [[order]] for a further [[ten]] E-One rubber-tyred [[gantry]] RTG [[cranes]] from Saigon Newport [[Company]] SNP , in Vietnam .","Finnish Cargotec 's Kalmar , the [[occupation]] [[country]] providing container [[address]] [[answer]] , has been [[present]] an [[tell]] for a further [[decade]] E-One rubber-tyred [[gauntry]] RTG [[Grus]] from Saigon Newport [[accompany]] SNP , in Vietnam .",0.0006247162818908,0.9991261959075928,2,1,2,208,Successful,"Finnish Cargotec 's Kalmar , the occupation country providing container address answer , has been present an tell for a further decade E-One rubber-tyred gauntry RTG Grus from Saigon Newport accompany SNP , in Vietnam .",1
124,"Bilfinger investors [[cheered]] the agreement , [[pushing]] [[shares]] up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .","Bilfinger investors [[barrack]] the agreement , [[advertise]] [[apportion]] up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",0.000573992729187,0.999040424823761,2,1,2,133,Successful,"Bilfinger investors barrack the agreement , advertise apportion up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",1
125,"CDP was [[established]] on the initiative of institutional investors ; however , the annually published results also [[interest]] an increasing number of customers and other interest groups of the reporting companies .","CDP was [[make]] on the initiative of institutional investors ; however , the annually published results also [[worry]] an increasing number of customers and other interest groups of the reporting companies .",0.0005887746810913,0.6132838129997253,1,0,1,167,Successful,"CDP was make on the initiative of institutional investors ; however , the annually published results also worry an increasing number of customers and other interest groups of the reporting companies .",0
126,The [[original]] contract was [[signed]] last summer .,The [[master]] contract was [[ratify]] last summer .,0.0016957521438598,0.1765382885932922,1,1,1,115,Failed,The master contract was ratify last summer .,1
127,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .","` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",0.9974968433380128,0.9974968433380128,2,2,1,1,Skipped,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",2
