,original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,perturbed_statement,evaluation_output
54,"[[The]] Finnish government [[announced]] Wednesday that it [[sold]] a [[32]] percent stake in chemicals and fertilizer group [[Kemira]] [[Oyj]] for (  [[x20ac]] ) [[655]].6 million ( $ 890US million ) , [[sending]] the [[company]] 's [[share]] [[price]] up 6 [[percent]] .","[[Tse]] Finnish government [[anounced]] Wednesday that it [[sol]] a [[3]] percent stake in chemicals and fertilizer group [[Kemria]] [[ROyj]] for (  [[2x0ac]] ) [[65]].6 million ( $ 890US million ) , [[sendXing]] the [[compnay]] 's [[shatre]] [[rice]] up 6 [[eprcent]] .",0.0004911422729492,0.9991863369941713,2,1,2,117,Successful,"Tse Finnish government anounced Wednesday that it sol a 3 percent stake in chemicals and fertilizer group Kemria ROyj for (  2x0ac ) 65.6 million ( $ 890US million ) , sendXing the compnay 's shatre rice up 6 eprcent .",1
55,The [[stock]] [[rose]] for a second [[day]] on Wednesday [[bringing]] its [[two-day]] [[rise]] to GBX12 .0 or 2.0 % .,The [[stozck]] [[orse]] for a second [[daD]] on Wednesday [[ringing]] its [[twoday]] [[ise]] to GBX12 .0 or 2.0 % .,0.0005824565887451,0.9992156624794006,2,1,2,38,Successful,The stozck orse for a second daD on Wednesday ringing its twoday ise to GBX12 .0 or 2.0 % .,1
56,"There has been some [[recovery]] of the base metals prices and increased demand for metals in China , however .","There has been some [[brecovery]] of the base metals prices and increased demand for metals in China , however .",0.0010440349578857,0.726639986038208,2,1,2,15,Successful,"There has been some brecovery of the base metals prices and increased demand for metals in China , however .",1
57,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now [[extend]] these services to its customers .","TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now [[exetnd]] these services to its customers .",0.0005635619163513,0.9912062287330629,2,1,2,21,Successful,"TietoEnator itself uses Nokia 's Intellisync Mobile Suite 's wireless email , calendar , and device management capabilities , and the company will now exetnd these services to its customers .",1
58,[[Vacon]] 's [[cash]] flow from operations [[grew]] to EUR 37.1 mn from EUR 21.9 mn a year [[ago]] .,[[Vaeon]] 's [[sash]] flow from operations [[gew]] to EUR 37.1 mn from EUR 21.9 mn a year [[agB]] .,0.0005761384963989,0.6133646965026855,2,1,2,40,Successful,Vaeon 's sash flow from operations gew to EUR 37.1 mn from EUR 21.9 mn a year agB .,1
59,Vacon will supply [[drives]] to Ruselprom in the power [[range]] from 200 kW up to 2 MW .,Vacon will supply [[drivs]] to Ruselprom in the power [[rauge]] from 200 kW up to 2 MW .,0.0018489956855773,0.9364384412765504,1,2,1,19,Successful,Vacon will supply drivs to Ruselprom in the power rauge from 200 kW up to 2 MW .,2
60,"With the acquisition , the company will [[expand]] its offering to North , Central and South America , it said .","With the acquisition , the company will [[exapnd]] its offering to North , Central and South America , it said .",0.000694990158081,0.8789964914321899,2,1,2,15,Successful,"With the acquisition , the company will exapnd its offering to North , Central and South America , it said .",1
61,"With the extension of the new [[contract]] for a further eight engines , the plant will now [[produce]] over 100 MW , it said .","With the extension of the new [[contratc]] for a further eight engines , the plant will now [[prodsce]] over 100 MW , it said .",0.0006594061851501,0.7806410789489746,2,1,2,20,Successful,"With the extension of the new contratc for a further eight engines , the plant will now prodsce over 100 MW , it said .",1
62,"`` The second quarter of 2010 was the [[firstquarter]] with [[growth]] in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .","`` The second quarter of 2010 was the [[fihrstquarter]] with [[grwth]] in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",0.0005601048469543,0.9987944960594176,2,1,2,27,Successful,"`` The second quarter of 2010 was the fihrstquarter with grwth in net sales since the third quarter of2008 , '' said Magnus Rosen , Ramirent CEO .",1
63,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating [[profit]] [[grew]] to [[EUR8]] .2 m in 2010 from [[EUR6]] .3 m in [[2009]] .,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating [[porfit]] [[gre]] to [[UER8]] .2 m in 2010 from [[ELUR6]] .3 m in [[2u009]] .,0.0006306767463684,0.9973247051239014,2,1,2,67,Successful,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating porfit gre to UER8 .2 m in 2010 from ELUR6 .3 m in 2u009 .,1
64,Finnish Componenta has published its new long-term strategy for the [[period]] 2011-2015 with the aim of growing [[together]] with its customers .,Finnish Componenta has published its new long-term strategy for the [[pBeriod]] 2011-2015 with the aim of growing [[tgoether]] with its customers .,0.0039465427398681,0.8750273585319519,1,2,1,21,Successful,Finnish Componenta has published its new long-term strategy for the pBeriod 2011-2015 with the aim of growing tgoether with its customers .,2
65,Affecto expects its net sales for the whole 2010 to [[increase]] from the 2009 level when they reached EUR 103 million .,Affecto expects its net sales for the whole 2010 to [[nicrease]] from the 2009 level when they reached EUR 103 million .,0.0005225539207458,0.9994053840637208,2,1,2,18,Successful,Affecto expects its net sales for the whole 2010 to nicrease from the 2009 level when they reached EUR 103 million .,1
66,"Elisa said mobile subscriptions [[grew]] 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .","Elisa said mobile subscriptions [[gerw]] 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",0.0005840063095092,0.9964552521705629,2,1,2,21,Successful,"Elisa said mobile subscriptions gerw 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",1
67,"However , the proportion of the paid standing orders [[grew]] in 2009 .","However , the proportion of the paid standing orders [[Krew]] in 2009 .",0.0006595253944396,0.9992689490318298,2,1,2,12,Successful,"However , the proportion of the paid standing orders Krew in 2009 .",1
68,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this [[year]] that the Lithuanian [[brewery]] 's [[sales]] reached 15.04 million euros [[last]] [[year]] , a [[rise]] of 20.4 percent from 12.49 million euros in 2004 .","Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this [[yaer]] that the Lithuanian [[brewOery]] 's [[saels]] reached 15.04 million euros [[lsat]] [[yfear]] , a [[ise]] of 20.4 percent from 12.49 million euros in 2004 .",0.0005967617034912,0.5366698503494263,2,1,2,66,Successful,"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this yaer that the Lithuanian brewOery 's saels reached 15.04 million euros lsat yfear , a ise of 20.4 percent from 12.49 million euros in 2004 .",1
69,Olvi expects sales and market share to [[increase]] in the first quarter of 2010 .,Olvi expects sales and market share to [[increasb]] in the first quarter of 2010 .,0.0005160570144653,0.999251425266266,2,1,2,14,Successful,Olvi expects sales and market share to increasb in the first quarter of 2010 .,1
70,Operating [[profit]] [[increased]] to [[EUR]] [[14]].0 [[mn]] from EUR 4.9 [[mn]] in the [[corresponding]] [[period]] in [[2005]] .,Operating [[hprofit]] [[increnased]] to [[UER]] [[n14]].0 [[nm]] from EUR 4.9 [[zmn]] in the [[correspTonding]] [[periid]] in [[2p005]] .,0.0006361603736877,0.9984135627746582,2,1,2,51,Successful,Operating hprofit increnased to UER n14.0 nm from EUR 4.9 zmn in the correspTonding periid in 2p005 .,1
71,Operating profit of the Asian plants grew [[markedly]] .,Operating profit of the Asian plants grew [[markedjy]] .,0.0005853176116943,0.9995060563087464,2,1,2,11,Successful,Operating profit of the Asian plants grew markedjy .,1
72,Sales in Finland [[rose]] by 3.9 % and international [[growth]] was 0.7 % .,Sales in Finland [[orse]] by 3.9 % and international [[grotwh]] was 0.7 % .,0.0005885362625122,0.979265034198761,2,1,2,18,Successful,Sales in Finland orse by 3.9 % and international grotwh was 0.7 % .,1
73,"[[The]] [[company]] is now [[intensifying]] its smelter [[operations]] and [[increasing]] its annual production capacity to [[230]],000 tonnes of [[copper]] .","[[TDe]] [[compny]] is now [[intenisfying]] its smelter [[operatwions]] and [[incMeasing]] its annual production capacity to [[g230]],000 tonnes of [[opper]] .",0.0005510449409484,0.9983741044998168,2,1,2,64,Successful,"TDe compny is now intenisfying its smelter operatwions and incMeasing its annual production capacity to g230,000 tonnes of opper .",1
74,"The company said that its investments in the new market areas resulted in sales [[increase]] in Sweden , Poland , Russia and Lithuania .","The company said that its investments in the new market areas resulted in sales [[incraese]] in Sweden , Poland , Russia and Lithuania .",0.0005239844322204,0.968768835067749,2,1,2,19,Successful,"The company said that its investments in the new market areas resulted in sales incraese in Sweden , Poland , Russia and Lithuania .",1
75,"The disposal of Autotank will also [[strengthen]] Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .","The disposal of Autotank will also [[streXngthen]] Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",0.0005720257759094,0.9991957545280457,2,1,2,17,Successful,"The disposal of Autotank will also streXngthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",1
76,The pretax profit of the group 's life [[insurance]] business [[increased]] to EUR 36 [[million]] from EUR 27 million .,The pretax profit of the group 's life [[isnurance]] business [[incerased]] to EUR 36 [[millio]] from EUR 27 million .,0.0007846355438232,0.9886541962623596,2,1,2,31,Successful,The pretax profit of the group 's life isnurance business incerased to EUR 36 millio from EUR 27 million .,1
77,The pretax profit of the group 's life insurance business [[increased]] to EUR36m from [[EUR27m]] .,The pretax profit of the group 's life insurance business [[increaVed]] to EUR36m from [[EfR27m]] .,0.0007553100585937,0.9994011521339417,2,1,2,19,Successful,The pretax profit of the group 's life insurance business increaVed to EUR36m from EfR27m .,1
78,"Xerox and Stora Enso have [[teamed]] up to tailor the iGen3 to the short-run , on-demand packaging [[market]] .","Xerox and Stora Enso have [[teaemd]] up to tailor the iGen3 to the short-run , on-demand packaging [[maorket]] .",0.0006329417228698,0.6047981977462769,2,1,2,19,Successful,"Xerox and Stora Enso have teaemd up to tailor the iGen3 to the short-run , on-demand packaging maorket .",1
79,"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .","As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .",0.983570158481598,0.983570158481598,2,2,1,1,Skipped,"As previously announced , GeoSentric Oyj entered into financing agreements with its lead investor on June 30 , 2010 enabling the Company to receive financing up to the aggregate amount of 6M .",2
80,"Separately , YIT Corporation and Austrian firm E AG last week [[signed]] an [[agreement]] on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .","Separately , YIT Corporation and Austrian firm E AG last week [[siqgned]] an [[agereement]] on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",0.0006916522979736,0.9875643253326416,2,1,2,36,Successful,"Separately , YIT Corporation and Austrian firm E AG last week siqgned an agereement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",1
81,The company intends to [[raise]] production capacity in 2006 .,The company intends to [[rasie]] production capacity in 2006 .,0.0005413889884948,0.6098665595054626,2,1,2,12,Successful,The company intends to rasie production capacity in 2006 .,1
82,"As [[earlier]] [[reported]] , [[Nokian]] [[Tyres]] is [[building]] a [[plant]] in the [[town]] of [[Vsevolozhsk]] in Russia 's [[Leningrad]] Region with an [[annual]] [[production]] [[capacity]] of 4 million [[tires]] .","As [[earligr]] [[reporetd]] , [[Nokoan]] [[Tyvres]] is [[Wbuilding]] a [[ylant]] in the [[twon]] of [[Vsevolozdsk]] in Russia 's [[Lenigrad]] Region with an [[annal]] [[prouction]] [[acpacity]] of 4 million [[ties]] .",0.000551164150238,0.0080796480178833,1,1,1,86,Failed,"As earligr reporetd , Nokoan Tyvres is Wbuilding a ylant in the twon of Vsevolozdsk in Russia 's Lenigrad Region with an annal prouction acpacity of 4 million ties .",1
83,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .","Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",0.8345323204994202,0.8345323204994202,0,0,1,1,Skipped,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",0
84,Finnish business software group AffectoGenimap Oyj said it had signed an [[agreement]] to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,Finnish business software group AffectoGenimap Oyj said it had signed an [[agreemetn]] to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,0.0051883459091186,0.9152435660362244,2,1,2,29,Successful,Finnish business software group AffectoGenimap Oyj said it had signed an agreemetn to acquire all the shares in Swedish sector company Intellibis Ab for 12 mln euro ( $ 15.8 mln ) on a debt-free basis .,1
85,"In Russia , [[Raisio]] 's [[Food]] [[Division]] 's [[home]] [[market]] [[stretches]] all the way to Vladivostok .","In Russia , [[Rasiio]] 's [[FoKod]] [[Divisin]] 's [[homd]] [[arket]] [[stetches]] all the way to Vladivostok .",0.0026144385337829,0.7957911491394043,1,2,1,35,Successful,"In Russia , Rasiio 's FoKod Divisin 's homd arket stetches all the way to Vladivostok .",2
86,Increase in the number of shares is [[based]] on the option rights which were granted to the management of the company under the stock option plan 2006 .,Increase in the number of shares is [[baesd]] on the option rights which were granted to the management of the company under the stock option plan 2006 .,0.0008354187011718,0.9517533779144288,1,2,1,18,Successful,Increase in the number of shares is baesd on the option rights which were granted to the management of the company under the stock option plan 2006 .,2
87,"is planning to [[expand]] its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .","is planning to [[expSnd]] its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",0.0027611255645751,0.9996522068977356,2,1,2,19,Successful,"is planning to expSnd its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland .",1
88,Ramirent s Danish subsidiary Ramirent A-S has today signed an [[agreement]] to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,Ramirent s Danish subsidiary Ramirent A-S has today signed an [[ageement]] to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,0.0006103515625,0.7099208831787109,2,1,2,25,Successful,Ramirent s Danish subsidiary Ramirent A-S has today signed an ageement to acquire the business assets of the machinery rental company Jydsk Materiel Udlejning located in West Jutland .,1
89,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all [[types]] of premium residential and [[commercial]] projects for sale and [[investment]] .","The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all [[ypes]] of premium residential and [[commerciPal]] projects for sale and [[ivestment]] .",0.0083664655685424,0.5366266965866089,1,2,1,36,Successful,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all ypes of premium residential and commerciPal projects for sale and ivestment .",2
90,"The contract , which was signed [[yesterday]] , will [[run]] for five [[years]] and [[includes]] a [[two-year]] extension option .","The contract , which was signed [[yesterdfay]] , will [[rmn]] for five [[yars]] and [[incZludes]] a [[two-yea]] extension option .",0.0020047426223754,0.3738614916801452,1,1,1,56,Failed,"The contract , which was signed yesterdfay , will rmn for five yars and incZludes a two-yea extension option .",1
91,"The [[contract]] [[covers]] installation , [[training]] and [[start-up]] [[services]] .","The [[contratc]] [[covesr]] installation , [[traininq]] and [[star-up]] [[serviceXs]] .",0.0005089044570922,0.0010001063346862,1,1,1,36,Failed,"The contratc covesr installation , traininq and star-up serviceXs .",1
92,"[[The]] [[OMX]] [[Nordic]] [[40]] ( [[OMXN40]] ) index , [[comprising]] the [[40]] most traded [[Nordic]] stocks on the [[Nasdaq]] OMX exchange , closed up 1.[[29]] % at 1,[[084]].[[47]] points on [[Friday]] .","[[Tve]] [[pMX]] [[oNrdic]] [[04]] ( [[OXMN40]] ) index , [[coXprising]] the [[4]] most traded [[Ncordic]] stocks on the [[Uasdaq]] OMX exchange , closed up 1.[[2T9]] % at 1,[[048]].[[7]] points on [[Frida]] .",0.0005702376365661,0.000747263431549,2,2,2,103,Failed,"Tve pMX oNrdic 04 ( OXMN40 ) index , coXprising the 4 most traded Ncordic stocks on the Uasdaq OMX exchange , closed up 1.2T9 % at 1,048.7 points on Frida .",2
93,To be number one [[means]] creating added value for stakeholders in everything we do .,To be number one [[meaqns]] creating added value for stakeholders in everything we do .,0.0014562606811523,0.9834936261177064,1,2,1,14,Successful,To be number one meaqns creating added value for stakeholders in everything we do .,2
94,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has [[signed]] a China mobile phone dealer financing [[agreement]] with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR","- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has [[isgned]] a China mobile phone dealer financing [[aZreement]] with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",0.0006109476089477,0.969858169555664,2,1,2,36,Successful,"- BEIJING XFN-ASIA - Hong Kong-listed Standard Chartered Bank said it has isgned a China mobile phone dealer financing aZreement with Nokia , making it the first foreign bank to offer financing to the country 's small and medium enterprise -LR",1
95,`` Residentialconstruction in particular has [[picked]] up in several [[markets]] .,`` Residentialconstruction in particular has [[Ricked]] up in several [[makets]] .,0.0006418824195861,0.997944474220276,2,1,2,15,Successful,`` Residentialconstruction in particular has Ricked up in several makets .,1
96,"After the transaction , Alma Media [[raised]] its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .","After the transaction , Alma Media [[raied]] its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",0.0005412697792053,0.9992560148239136,2,1,2,19,Successful,"After the transaction , Alma Media raied its stake in Talentum to 30.65 % of the shares and some 31.12 % of voting rights .",1
97,"ALEXANDRIA , Va. , July [[11]] -- Hannu Kahonen of Juuka , Finland , has [[developed]] an ornamental design for a [[handle]] for fire pit door , the U.S. Patent & Trademark Office [[announced]] .","ALEXANDRIA , Va. , July [[1]] -- Hannu Kahonen of Juuka , Finland , has [[deveKoped]] an ornamental design for a [[handel]] for fire pit door , the U.S. Patent & Trademark Office [[announed]] .",0.0014619827270507,0.6029022932052612,1,0,1,49,Successful,"ALEXANDRIA , Va. , July 1 -- Hannu Kahonen of Juuka , Finland , has deveKoped an ornamental design for a handel for fire pit door , the U.S. Patent & Trademark Office announed .",0
98,"ALEXANDRIA , [[Va]]. , [[May]] 16 -- [[Kenneth]] [[Bower]] of Vista , [[Calif]]. , has developed an ornamental design for a handset , the U.S. [[Patent]] & Trademark [[Office]] [[announced]] .","ALEXANDRIA , [[Vx]]. , [[Ray]] 16 -- [[Kennet]] [[Bowsr]] of Vista , [[Calfi]]. , has developed an ornamental design for a handset , the U.S. [[HPatent]] & Trademark [[OfficCe]] [[nnounced]] .",0.0010395050048828,0.0059844255447387,1,1,1,80,Failed,"ALEXANDRIA , Vx. , Ray 16 -- Kennet Bowsr of Vista , Calfi. , has developed an ornamental design for a handset , the U.S. HPatent & Trademark OfficCe nnounced .",1
99,Calls to the switchboard and directory services have [[decreased]] significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,Calls to the switchboard and directory services have [[decerased]] significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,0.0628161430358886,0.9996708035469056,1,2,1,22,Successful,Calls to the switchboard and directory services have decerased significantly since our employees now have up-to-date contact information from all their colleagues and customers on their phone and can place the call directly .,2
100,[[Following]] the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,[[Ftollowing]] the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,0.0008013844490051,0.935252845287323,1,2,1,23,Successful,Ftollowing the increase the company+óEUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .,2
101,"In [[2008]] , it generated net [[sales]] of EUR 9.3 [[million]] [[USD]] [[13]].1 m .","In [[208]] , it generated net [[saljes]] of EUR 9.3 [[millioGn]] [[gUSD]] [[1]].1 m .",0.0006322264671325,0.0013219714164733,1,1,1,47,Failed,"In 208 , it generated net saljes of EUR 9.3 millioGn gUSD 1.1 m .",1
102,"In August , [[Latvijas]] [[Finieris]] [[ordered]] all production [[lines]] for a new green [[veneer]] [[mill]] to be built in [[Ukmerge]] , Lithuania .","In August , [[Latvjias]] [[Finiersi]] [[orderyd]] all production [[lints]] for a new green [[veeer]] [[mlil]] to be built in [[Ukmere]] , Lithuania .",0.0015560984611511,0.1270432472229004,1,1,1,71,Failed,"In August , Latvjias Finiersi orderyd all production lints for a new green veeer mlil to be built in Ukmere , Lithuania .",1
103,[[Jacobs]] has been supporting [[Storengy]] 's investment of developing storage [[sites]] [[since]] [[2006]] as [[owner]] 's [[engineer]] .,[[Jcaobs]] has been supporting [[torengy]] 's investment of developing storage [[Dites]] [[Psince]] [[20U6]] as [[oNner]] 's [[eVngineer]] .,0.0007004737854003,0.8553760051727295,1,2,1,43,Successful,Jcaobs has been supporting torengy 's investment of developing storage Dites Psince 20U6 as oNner 's eVngineer .,2
104,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and [[halt]] [[production]] .,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and [[ahlt]] [[productio]] .,0.0021750926971435,0.8616364002227783,0,1,0,21,Successful,One of the challenges in the oil production in the North Sea is scale formation that can plug pipelines and ahlt productio .,1
105,[[Rental]] of [[building]] equipment [[accounted]] for 88 percent of the [[operating]] [[income]] .,[[Retal]] of [[builing]] equipment [[accouned]] for 88 percent of the [[operatig]] [[bncome]] .,0.0005735158920288,0.0096839070320129,1,1,1,40,Failed,Retal of builing equipment accouned for 88 percent of the operatig bncome .,1
106,[[Sanoma]] will continue to [[focus]] on investing in [[digital]] [[media]] and on strengthening its market [[positions]] .,[[Saoma]] will continue to [[foucs]] on investing in [[diigtal]] [[mdia]] and on strengthening its market [[opsitions]] .,0.0019049048423767,0.2707127332687378,1,1,1,45,Failed,Saoma will continue to foucs on investing in diigtal mdia and on strengthening its market opsitions .,1
107,"The [[acquisition]] is [[part]] of [[Suomen]] [[Helasto]] 's [[strategy]] to expand the [[LukkoExpert]] [[Security]] chain , [[Suomen]] [[Helasto]] CEO [[Kimmo]] [[Uusimaki]] [[said]] .","The [[Kacquisition]] is [[par]] of [[Sutomen]] [[Helsato]] 's [[strJtegy]] to expand the [[LukkoEpert]] [[Secuirty]] chain , [[Sbomen]] [[Helast]] CEO [[KimNo]] [[Uusiamki]] [[saii]] .",0.0013343095779418,0.5493990182876587,1,2,1,77,Successful,"The Kacquisition is par of Sutomen Helsato 's strJtegy to expand the LukkoEpert Secuirty chain , Sbomen Helast CEO KimNo Uusiamki saii .",2
108,"The [[corresponding]] share capital increase , EUR 1,012,945.50 was [[entered]] in the Trade Register today .","The [[croresponding]] share capital increase , EUR 1,012,945.50 was [[entenred]] in the Trade Register today .",0.0008248686790466,0.9960624575614928,1,2,1,23,Successful,"The croresponding share capital increase , EUR 1,012,945.50 was entenred in the Trade Register today .",2
109,The expansion includes the [[doubling]] of the floor space and the addition of more lifting capacity and production equipment .,The expansion includes the [[duobling]] of the floor space and the addition of more lifting capacity and production equipment .,0.1708090305328369,0.9534754753112792,2,1,2,16,Successful,The expansion includes the duobling of the floor space and the addition of more lifting capacity and production equipment .,1
110,The [[phones]] are [[targeted]] at first time [[users]] in growth markets .,The [[hpones]] are [[targeteZd]] at first time [[usres]] in growth markets .,0.0011754631996154,0.0116907358169555,1,1,1,40,Failed,The hpones are targeteZd at first time usres in growth markets .,1
111,"The repayment of EUR 105 million debenture bonds is [[related]] to the Company 's previous announcement on October 21 , 2009 to [[collect]] irrevocable selling commitments from the holders of its subordinated debenture bonds .","The repayment of EUR 105 million debenture bonds is [[relted]] to the Company 's previous announcement on October 21 , 2009 to [[colTect]] irrevocable selling commitments from the holders of its subordinated debenture bonds .",0.0006352066993713,0.9573915004730223,1,2,1,31,Successful,"The repayment of EUR 105 million debenture bonds is relted to the Company 's previous announcement on October 21 , 2009 to colTect irrevocable selling commitments from the holders of its subordinated debenture bonds .",2
112,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should [[double]] Atria Russia 's production capacity in the St Petersburg area .","The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should [[donble]] Atria Russia 's production capacity in the St Petersburg area .",0.0006517767906188,0.98281329870224,2,1,2,26,Successful,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should donble Atria Russia 's production capacity in the St Petersburg area .",1
113,U.S. District [[Judge]] Douglas P. [[Woodlock]] yesterday extended a Jan. [[17]] temporary restraining order until [[March]] 7 .,U.S. District [[JudXe]] Douglas P. [[QWoodlock]] yesterday extended a Jan. [[1]] temporary restraining order until [[Mrch]] 7 .,0.0029122233390808,0.495370864868164,1,1,1,65,Failed,U.S. District JudXe Douglas P. QWoodlock yesterday extended a Jan. 1 temporary restraining order until Mrch 7 .,1
114,"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - [[The]] British miniature antennas maker [[Sarantel]] has signed an agreement to [[outsource]] its [[assembly]] test and supply [[chain]] processes to the plant of Elcoteq in the Estonian capital Tallinn .","UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - [[TSe]] British miniature antennas maker [[Sarantex]] has signed an agreement to [[outlsource]] its [[asVsembly]] test and supply [[hain]] processes to the plant of Elcoteq in the Estonian capital Tallinn .",0.0006215572357177,0.7182489633560181,1,2,1,52,Successful,"UK 's Sarantel to outsource part of its processes to Elcoteq plant in Estonia LONDON , Oct 13 , BNS - TSe British miniature antennas maker Sarantex has signed an agreement to outlsource its asVsembly test and supply hain processes to the plant of Elcoteq in the Estonian capital Tallinn .",2
115,"[[Earnings]] per share ( EPS ) for the [[first]] quarter 2007 amounted to EUR0 .[[07]] , up from EUR0 .[[04]] .","[[aErnings]] per share ( EPS ) for the [[fist]] quarter 2007 amounted to EUR0 .[[70]] , up from EUR0 .[[r04]] .",0.0007144808769226,0.0007611513137817,2,2,2,61,Failed,"aErnings per share ( EPS ) for the fist quarter 2007 amounted to EUR0 .70 , up from EUR0 .r04 .",2
116,"Ruukki Romania , the local arm of Finnish metal producer Ruukki , [[increased]] its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .","Ruukki Romania , the local arm of Finnish metal producer Ruukki , [[incresed]] its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",0.0005137920379638,0.99946391582489,2,1,2,27,Successful,"Ruukki Romania , the local arm of Finnish metal producer Ruukki , incresed its capital by 900,000 euro ( $ 1.14 mln ) through cash contribution , it was reported on September 19 , 2006 .",1
117,[[The]] [[growth]] of [[net]] [[sales]] has continued [[favourably]] in the [[Middle]] East and Africaand in [[Asia]] [[Pacific]] .,[[Teh]] [[grwth]] of [[neD]] [[saZes]] has continued [[fajvourably]] in the [[Middel]] East and Africaand in [[Asi]] [[Paicfic]] .,0.0006042718887329,0.9990509748458862,2,1,2,56,Successful,Teh grwth of neD saZes has continued fajvourably in the Middel East and Africaand in Asi Paicfic .,1
