"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating [[profit]] of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .","CORPORATE IT UPDATE - ( C ) 1995-2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation ( OMX Helsinki : TLT1V ) reported on Wednesday ( 4 February ) an operating [[benefit]] of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .",0.0009247064590454102,0.9448144435882568,1,2,1,144,"Successful"
"The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was [[registered]] with the Finnish Trade Register on January 4 , 2008 .","The corresponding increase in the share capital due to these subscriptions with the warrants , in total EUR 1,860.74 , was [[record]] with the Finnish Trade Register on January 4 , 2008 .",0.0006736516952514648,0.6541401147842407,1,2,1,132,"Successful"
"The [[development]] of the technological park , which will specialize in telecommunications and information technologies , is [[part]] of the state program for the formation of technoparks for hi-tech sectors in Russia .","The [[growth]] of the technological park , which will specialize in telecommunications and information technologies , is [[parting]] of the state program for the formation of technoparks for hi-tech sectors in Russia .",0.0007741451263427734,0.9410478472709656,1,2,1,133,"Successful"
"The [[Annual]] General [[Meeting]] [[approved]] a dividend of EUR [[0]].[[10]] per [[share]] , that is , a [[total]] of EUR [[7]],[[8]] [[million]] .","The [[yearly]] General [[suffer]] [[sanctioned]] a dividend of EUR [[nought]].[[tenner]] per [[ploughshare]] , that is , a [[tot]] of EUR [[septenary]],[[VIII]] [[jillion]] .",0.0006201267242431641,0.002828538417816162,1,1,1,199,"Failed"
"The negotiations [[concern]] 246 salaried and senior salaried employees and are scheduled to be [[completed]] in six weeks .","The negotiations [[fear]] 246 salaried and senior salaried employees and are scheduled to be [[discharge]] in six weeks .",0.000728309154510498,0.7894576191902161,1,0,1,89,"Successful"
"Elite Residence Tower , a [[new]] [[development]] by [[Tameer]] , is [[located]] at the [[heart]] of Dubai Marina .","Elite Residence Tower , a [[young]] [[growth]] by [[tamed]] , is [[placed]] at the [[warmheartedness]] of Dubai Marina .",0.001004040241241455,0.5065535306930542,1,2,1,148,"Successful"
"Operating result , excluding one-off items , totaled EUR 9.1 mn [[compared]] to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .","Operating result , excluding one-off items , totaled EUR 9.1 mn [[liken]] to EUR 10.6 mn in continuing operations , excluding one-off items in 2004 .",0.002224266529083252,0.9883224964141846,0,2,0,142,"Successful"
"RusHydro has an [[agreement]] to [[transfer]] its [[stakes]] in OESK and the five ERCs into the [[trust]] [[management]] of Inter RAO .","RusHydro has an [[understanding]] to [[channelize]] its [[venture]] in OESK and the five ERCs into the [[trustingness]] [[direction]] of Inter RAO .",0.0007052421569824219,0.7322757244110107,1,2,1,136,"Successful"
"[[Pharmaceutical]] [[market]] in [[Italy]] [[Global]] [[Research]] & [[Data]] [[Services]] [[published]] recently a [[market]] [[analysis]] about the pharmaceutical [[markets]] in Italy .","[[pharmaceutic]] [[grocery]] in [[Italia]] [[globose]] [[enquiry]] & [[datum]] [[avail]] [[promulgated]] recently a [[grocery]] [[psychoanalysis]] about the pharmaceutical [[mart]] in Italy .",0.0009627342224121094,0.003759026527404785,1,1,1,133,"Failed"
"Swedish , Finnish and Danish [[listed]] [[companies]] are [[organized]] in [[three]] [[market]] [[cap]] [[segments]] , Nordic [[Large]] [[Cap]] , Mid [[Cap]] and [[Small]] Cap .","Swedish , Finnish and Danish [[lean]] [[company]] are [[mastermind]] in [[trio]] [[commercialize]] [[detonator]] [[segment]] , Nordic [[tumid]] [[crown]] , Mid [[capital]] and [[modest]] Cap .",0.0005310177803039551,0.006326556205749512,1,1,1,292,"Failed"
"Aspo 's Group structure and business operations are [[developed]] persistently without any predefined schedules .","Aspo 's Group structure and business operations are [[modernize]] persistently without any predefined schedules .",0.0005857944488525391,0.9992801547050476,1,2,1,74,"Successful"
"Revenue [[grew]] by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .","Revenue [[originate]] by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",0.000545799732208252,0.9917240142822266,2,1,2,72,"Successful"
"The Network [[Test]] [[Business]] is [[part]] of Elektrobit 's Test and Automation [[Business]] Segment and [[employs]] 39 people in Finland and 22 people abroad , mainly in the US and Asia .","The Network [[prove]] [[job]] is [[parting]] of Elektrobit 's Test and Automation [[patronage]] Segment and [[engage]] 39 people in Finland and 22 people abroad , mainly in the US and Asia .",0.0005535483360290527,0.5042682886123657,1,2,1,193,"Successful"
"Marimekko [[makes]] all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the [[better]] to [[take]] advantage of shoppers who ca n't commit to furniture but want a piece of the action .","Marimekko [[gain]] all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the [[near]] to [[strike]] advantage of shoppers who ca n't commit to furniture but want a piece of the action .",0.0012163519859313965,0.9889751076698303,1,2,1,481,"Successful"
"Unit [[costs]] for flight operations fell by 6.4 percent .","Unit [[be]] for flight operations fell by 6.4 percent .",0.000662386417388916,0.9958614110946655,2,0,2,79,"Successful"
"The total investment in the Vantaa plant [[extension]] will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .","The total investment in the Vantaa plant [[prolongation]] will amount to around 10 million euro , and Okmetic 's share of the investments will be worth around 2.7 million .",0.0007259249687194824,0.934782862663269,1,0,1,124,"Successful"
"Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will [[transfer]] to Nastola , southern Finland , the production of its Jyvaskyla plant , which will [[affect]] 14 people .","Nastola , axe 14 jobs 16 February 2010 - Finnish wood products technology firm Raute Oyj HEL : RUTAV said today that it will [[channelize]] to Nastola , southern Finland , the production of its Jyvaskyla plant , which will [[impress]] 14 people .",0.0007972121238708496,0.9956421256065369,1,2,1,176,"Successful"
"`` Marimekko [[aims]] to [[expand]] its distribution network primarily by [[increasing]] the [[number]] of concept stores and shop-in-shops .","`` Marimekko [[train]] to [[amplify]] its distribution network primarily by [[increase]] the [[total]] of concept stores and shop-in-shops .",0.001078486442565918,0.9785910248756409,1,2,1,131,"Successful"
"Cargotec 's [[share]] [[capital]] after the increase [[totals]] EUR [[64]],299,180 .","Cargotec 's [[contribution]] [[great]] after the increase [[tot]] EUR [[lxiv]],299,180 .",0.0005640387535095215,0.16875916719436646,1,1,1,82,"Failed"
"The [[impact]] on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .","The [[shock]] on TietoEnator 's net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .",0.00061798095703125,0.8579829335212708,1,0,1,67,"Successful"
"In 2007 , [[almost]] two thirds of Orion 's net sales [[came]] from these drugs .","In 2007 , [[near]] two thirds of Orion 's net sales [[fall]] from these drugs .",0.0012850761413574219,0.535479724407196,1,0,1,87,"Successful"
"The [[front]] surfaces of these valve [[plates]] are [[directed]] towards each other .","The [[forepart]] surfaces of these valve [[plateful]] are [[manoeuver]] towards each other .",0.0009346604347229004,0.0017033219337463379,1,1,1,104,"Failed"
"The contract [[also]] [[includes]] [[cutting]] and [[edging]] [[wagon]] [[parts]] at Ruukki 's [[steel]] [[service]] [[centres]] in Seinajoki and Raahe , from where they will be [[delivered]] to VR for welding and assembly .","The contract [[likewise]] [[admit]] [[rationalize]] and [[abut]] [[Wagon]] [[contribution]] at Ruukki 's [[nerve]] [[overhaul]] [[inwardness]] in Seinajoki and Raahe , from where they will be [[birth]] to VR for welding and assembly .",0.0005755424499511719,0.6951770782470703,1,2,1,314,"Successful"
"Nordea Bank AB publ [[holds]] 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .","Nordea Bank AB publ [[appreciation]] 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .",0.000594019889831543,0.7810564041137695,1,2,1,224,"Successful"
"The period-end cash and cash equivalents totaled EUR6 .5 m , [[compared]] to EUR10 .5 m in the previous year .","The period-end cash and cash equivalents totaled EUR6 .5 m , [[liken]] to EUR10 .5 m in the previous year .",0.003097236156463623,0.9422916769981384,0,1,0,62,"Successful"
"With [[sales]] of $ 12.7 [[billion]] over the [[last]] twelve months [[ending]] October , 2010 and over [[9]],200 stores in 35 states , Dollar General is the nation 's [[largest]] small box discount retailer .","With [[sale]] of $ 12.7 [[jillion]] over the [[last-place]] twelve months [[closing]] October , 2010 and over [[ennead]],200 stores in 35 states , Dollar General is the nation 's [[great]] small box discount retailer .",0.0020117759704589844,0.5099275708198547,1,2,1,216,"Successful"
"The [[change]] in [[holdings]] in accordance with Chapter 2 , [[Section]] 9 of the [[Finnish]] Securities Markets [[Act]] is [[described]] below .","The [[shift]] in [[arrest]] in accordance with Chapter 2 , [[department]] 9 of the [[Suomi]] Securities Markets [[enactment]] is [[account]] below .",0.0006122589111328125,0.04319685697555542,1,1,1,264,"Failed"
"Finnish Rautaruukki is [[selling]] its [[precision]] [[tube]] and automotive [[component]] [[processing]] unit Carl Froh in [[Germany]] to German Arques [[Industries]] .","Finnish Rautaruukki is [[betray]] its [[preciseness]] [[subway]] and automotive [[ingredient]] [[treat]] unit Carl Froh in [[Deutschland]] to German Arques [[industriousness]] .",0.000652611255645752,0.012142062187194824,1,1,1,88,"Failed"
"[[CS]] Cabot 's [[main]] [[consumers]] on the [[Czech]] and Slovak [[market]] are [[tires]] producers Barum Continental and Matador Continental .","[[carbon]] Cabot 's [[briny]] [[consumer]] on the [[Czechoslovakian]] and Slovak [[marketplace]] are [[weary]] producers Barum Continental and Matador Continental .",0.0005729198455810547,0.323840856552124,1,1,1,106,"Failed"
"For 2009 , Incap [[expects]] [[revenue]] of some EUR [[70]] [[million]] .","For 2009 , Incap [[anticipate]] [[gross]] of some EUR [[LXX]] [[trillion]] .",0.000522911548614502,0.0027980804443359375,1,1,1,55,"Failed"
"The world of glass is [[coming]] to Egypt and we [[invite]] Visitors from all around the world to attend Glass World Exhibition 2009 , [[Register]] [[Now]] at www.glassworldex.com","The world of glass is [[number]] to Egypt and we [[tempt]] Visitors from all around the world to attend Glass World Exhibition 2009 , [[record]] [[instantly]] at www.glassworldex.com",0.0007083415985107422,0.996367871761322,1,2,1,205,"Successful"
"The [[reason]] for this is St. Petersburg [[status]] as a [[capital]] , [[one]] of the participants in the [[meeting]] [[quoted]] Chikunov as [[saying]] .","The [[cause]] for this is St. Petersburg [[position]] as a [[chapiter]] , [[unrivaled]] of the participants in the [[encounter]] [[cite]] Chikunov as [[locution]] .",0.0014731884002685547,0.5144637227058411,1,0,1,161,"Successful"
"These [[include]] software [[development]] for internet and [[mobile]] telephone [[content]] , communications , value-added software , financial [[services]] , [[security]] [[applications]] , [[systems]] [[integration]] and electronics , '' EBRD informed .","These [[admit]] software [[growth]] for internet and [[roving]] telephone [[capacity]] , communications , value-added software , financial [[serving]] , [[surety]] [[application]] , [[scheme]] [[integrating]] and electronics , '' EBRD informed .",0.0005463957786560059,0.5087028741836548,1,2,1,126,"Successful"
"The sale will allow Campofrio to [[focus]] on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.","The sale will allow Campofrio to [[sharpen]] on its recently announced takeover of Groupe Smithfield Holdings , the European unit of Smithfield Foods Inc. ( SFD ) of the U.S.",0.0010260343551635742,0.9945203065872192,1,2,1,145,"Successful"
"The device can also be [[used]] for [[theft]] protection and positioning of vehicles , boats and other assets .","The device can also be [[ill-used]] for [[stealing]] protection and positioning of vehicles , boats and other assets .",0.0008611679077148438,0.561389148235321,1,0,1,74,"Successful"
"The company plans to [[close]] two of the three lines at the plant , where some 450 [[jobs]] are under threat .","The company plans to [[finale]] two of the three lines at the plant , where some 450 [[caper]] are under threat .",0.0017018914222717285,0.6177762746810913,0,1,0,179,"Successful"
"Unlisted [[British]] Biologicals [[makes]] [[B]] - and [[D]] - [[proteins]] , and other disease-specific [[supplements]] that [[cover]] diabetes , hepatitis , asthma and other cardiovascular [[ailments]] .","Unlisted [[Brits]] Biologicals [[ready]] [[Bel]] - and [[viosterol]] - [[protein]] , and other disease-specific [[supplement]] that [[extend]] diabetes , hepatitis , asthma and other cardiovascular [[ailment]] .",0.0008304119110107422,0.8911767601966858,1,2,1,248,"Successful"
"Ahlstrom 's 5,700 employees [[serve]] customers via sales offices and production [[facilities]] in more than 20 countries on six continents .","Ahlstrom 's 5,700 employees [[suffice]] customers via sales offices and production [[adeptness]] in more than 20 countries on six continents .",0.0005584359169006348,0.8376912474632263,1,2,1,105,"Successful"
"The solvency [[capital]] ratio of both [[companies]] was 2.[[7]] times the solvency [[limit]] .","The solvency [[majuscule]] ratio of both [[companionship]] was 2.[[sevener]] times the solvency [[limitation]] .",0.0006003379821777344,0.18281620740890503,1,1,1,111,"Failed"
"Rohwedder [[Group]] is an [[automotive]] [[supplies]] , telecommunications and electronics [[industry]] provider for [[customers]] in [[Europe]] , [[North]] [[America]] and Asia .","Rohwedder [[radical]] is an [[self-propelled]] [[add]] , telecommunications and electronics [[industriousness]] provider for [[customer]] in [[EU]] , [[northward]] [[US]] and Asia .",0.0018579959869384766,0.006152927875518799,1,1,1,86,"Failed"
"[[Total]] [[value]] of the [[contract]] is about EUR 10mn .","[[tot]] [[appreciate]] of the [[reduce]] is about EUR 10mn .",0.0005256533622741699,0.028704404830932617,1,1,1,96,"Failed"
"For Telenor , the three and a half year [[contract]] is worth an estimated 12.6 m. YIT has [[chosen]] Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .","For Telenor , the three and a half year [[condense]] is worth an estimated 12.6 m. YIT has [[opt]] Telenor and Elisa as its principal suppliers of ICT solutions in Norway , Sweden , Denmark and Finland .",0.0006605982780456543,0.9893607497215271,2,1,2,147,"Successful"
"In the fourth quarter of 2006 , OKO Banks [[expects]] the operating environment for Banking and Investment Services to [[remain]] [[similar]] to that in January-September 2006 .","In the fourth quarter of 2006 , OKO Banks [[anticipate]] the operating environment for Banking and Investment Services to [[persist]] [[standardised]] to that in January-September 2006 .",0.0008436441421508789,0.9969378709793091,1,2,1,122,"Successful"
"The financial impact is estimated to be an annual [[improvement]] of EUR2 .0 m in the division 's results , as of fiscal year 2008 .","The financial impact is estimated to be an annual [[melioration]] of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",0.0005950927734375,0.9995594620704651,2,1,2,72,"Successful"
"The cost of the deal could [[range]] from 70 million to 90 million euros [[depending]] on the financial [[results]] of the two companies in 2008 , the [[statement]] says .","The cost of the deal could [[stove]] from 70 million to 90 million euros [[bet]] on the financial [[lead]] of the two companies in 2008 , the [[assertion]] says .",0.0006192922592163086,0.7267872095108032,1,2,1,234,"Successful"
"For the last quarter of 2010 , Componenta 's net sales [[doubled]] to EUR131m from EUR76m for the same period a year earlier , while it moved to a [[zero]] pre-tax profit from a pre-tax loss of EUR7m .","For the last quarter of 2010 , Componenta 's net sales [[reduplicate]] to EUR131m from EUR76m for the same period a year earlier , while it moved to a [[cipher]] pre-tax profit from a pre-tax loss of EUR7m .",0.0005615353584289551,0.9988321661949158,2,1,2,160,"Successful"
"In accordance with our strategy , we [[strengthened]] our local presence by establishing a representative office in South Africa in October .","In accordance with our strategy , we [[tone]] our local presence by establishing a representative office in South Africa in October .",0.000599980354309082,0.994935154914856,2,1,2,81,"Successful"
"F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced [[results]] from its annual Online Wellbeing Survey .","F-Secure , a developer of security solutions as a service through Internet Service Providers and mobile operators , announced [[termination]] from its annual Online Wellbeing Survey .",0.0009912848472595215,0.9987089037895203,1,0,1,115,"Successful"
"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be [[lower]] than in 2008 due to lower sales volume .","Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be [[humbled]] than in 2008 due to lower sales volume .",0.0014303922653198242,0.9995859265327454,0,2,0,419,"Successful"
"Finnish silicon wafers manufacturer Okmetic Oyj said it [[swung]] to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .","Finnish silicon wafers manufacturer Okmetic Oyj said it [[drop]] to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .",0.0005641579627990723,0.998767077922821,2,0,2,225,"Successful"
"Under the agreement , Japrotek will [[deliver]] nine storage tanks in the volume range of 1,000 cu m to 3,000 cu m with included agitators .","Under the agreement , Japrotek will [[save]] nine storage tanks in the volume range of 1,000 cu m to 3,000 cu m with included agitators .",0.000973820686340332,0.9873182773590088,1,2,1,142,"Successful"
"The segments through which the [[company]] [[operates]] are [[Frozen]] Food [[business]] , Seafoods , Vegetable [[Oil]] [[business]] , [[Grain]] [[Trading]] and [[Other]] [[business]] [[operations]] .","The segments through which the [[companionship]] [[manoeuvre]] are [[immobilize]] Food [[occupation]] , Seafoods , Vegetable [[anoint]] [[patronage]] , [[cereal]] [[merchandise]] and [[former]] [[byplay]] [[performance]] .",0.0004934072494506836,0.001453995704650879,1,1,1,207,"Failed"
"Incap [[Contract]] [[Manufacturing]] is a subsidiary of Incap [[Corporation]] of [[Finland]] .","Incap [[shorten]] [[invent]] is a subsidiary of Incap [[tummy]] of [[Suomi]] .",0.0004887580871582031,0.0010935068130493164,1,1,1,84,"Failed"
"The studies are expected to [[start]] in 2008 .","The studies are expected to [[get-go]] in 2008 .",0.0006610751152038574,0.6751437187194824,1,2,1,83,"Successful"
"This will be [[done]] domestically and in neighboring markets , both organically and through [[acquisitions]] .","This will be [[suffice]] domestically and in neighboring markets , both organically and through [[skill]] .",0.000920414924621582,0.37647974491119385,1,1,1,88,"Failed"
"The real estate company posted a net [[loss]] of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share [[compared]] with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .","The real estate company posted a net [[release]] of +ó  x201a -¼ 59.3 million +ó  x201a -¼ 0.21 per share [[liken]] with a net profit of +ó  x201a -¼ 31 million +ó  x201a -¼ 0.11 per share for the corresponding quarter of 2007 .",0.0012475252151489258,0.9998078346252441,0,1,0,221,"Successful"
"Poyry is [[recognized]] as one of the world 's [[leading]] advisors to the global forestry industry .","Poyry is [[know]] as one of the world 's [[leave]] advisors to the global forestry industry .",0.0007482171058654785,0.8429068326950073,2,1,2,142,"Successful"
"Elcoteq [[SE]] is [[listed]] on the Nasdaq OMX Helsinki Ltd. .","Elcoteq [[sou'-east]] is [[lean]] on the Nasdaq OMX Helsinki Ltd. .",0.0005508065223693848,0.0006867647171020508,1,1,1,32,"Failed"
"Comparable net sales are expected to [[increase]] more than 10 % in 2008 , in [[line]] with group target .","Comparable net sales are expected to [[increment]] more than 10 % in 2008 , in [[strain]] with group target .",0.0005359053611755371,0.996929407119751,2,0,2,141,"Successful"
"The personnel [[reduction]] will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .","The personnel [[simplification]] will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",0.0015701651573181152,0.9982708692550659,0,1,0,53,"Successful"
"Earnings per share ( EPS ) amounted to a [[loss]] of EUR0 .38 .","Earnings per share ( EPS ) amounted to a [[release]] of EUR0 .38 .",0.0018554925918579102,0.9430941343307495,0,1,0,57,"Successful"
"The robust [[growth]] was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .","The robust [[ontogeny]] was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .",0.000513911247253418,0.9388987421989441,2,1,2,77,"Successful"
"The [[order]] is a follow-on to an 11 mln euro ( $ 16.1 mln ) deal [[made]] in July 2007 .","The [[orderliness]] is a follow-on to an 11 mln euro ( $ 16.1 mln ) deal [[gain]] in July 2007 .",0.0017870664596557617,0.999303936958313,1,2,1,239,"Successful"
"Public [[services]] will [[also]] be [[available]] .","Public [[overhaul]] will [[too]] be [[usable]] .",0.0011501312255859375,0.34639328718185425,1,1,1,39,"Failed"
"U.S.-based T Corp. is in [[talks]] with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax .","U.S.-based T Corp. is in [[babble]] with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom , an executive at Coscom told Interfax .",0.0018260478973388672,0.6231669187545776,1,0,1,138,"Successful"
"This new deal has [[strengthened]] the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .","This new deal has [[tone]] the partnership from Telemig Celular and Tecnomen , which it has started since the beginning of Telemig 's prepaid operations .",0.0006103515625,0.9982337951660156,2,1,2,116,"Successful"
"Passenger volumes [[rose]] by 8.4 % in the accounting period .","Passenger volumes [[originate]] by 8.4 % in the accounting period .",0.0006372332572937012,0.9985595345497131,2,1,2,91,"Successful"
"The [[total]] [[delivery]] [[volume]] of paper [[businesses]] in 2010 was [[1]],155,000 tonnes , up from [[1]],132,000 tonnes in 2009 .","The [[aggregate]] [[rescue]] [[book]] of paper [[clientele]] in 2010 was [[ace]],155,000 tonnes , up from [[I]],132,000 tonnes in 2009 .",0.0005981922149658203,0.0009895563125610352,2,2,2,133,"Failed"
"An individual promotion also generated [[slightly]] higher-than-expected revenues .","An individual promotion also generated [[slimly]] higher-than-expected revenues .",0.0007523298263549805,0.94719398021698,2,0,2,48,"Successful"
"The borrower was happy to do the roadshow and this [[paid]] off as the hit ratio from it was [[high]] .","The borrower was happy to do the roadshow and this [[nonrecreational]] off as the hit ratio from it was [[highschool]] .",0.001105964183807373,0.99604332447052,2,1,2,70,"Successful"
"[[South]] [[America]] and Asia are other promising [[markets]] .","[[S]] [[US]] and Asia are other promising [[mart]] .",0.003436744213104248,0.1290440559387207,1,1,1,54,"Failed"
"[[Currently]] , 95 % of Trainers [[House]] 's [[revenues]] are [[attributed]] to the Finnish [[market]] .","[[presently]] , 95 % of Trainers [[theatre]] 's [[taxation]] are [[attribute]] to the Finnish [[commercialise]] .",0.00045162439346313477,0.0006571412086486816,1,1,1,69,"Failed"
"Nurminen Logistics [[provides]] high-quality logistics [[services]] , such as railway [[transports]] , terminal [[services]] , forwarding , special and heavy [[transports]] and medical [[transports]] .","Nurminen Logistics [[render]] high-quality logistics [[avail]] , such as railway [[delight]] , terminal [[Service]] , forwarding , special and heavy [[channelize]] and medical [[ship]] .",0.0005844831466674805,0.8406713604927063,1,2,1,263,"Successful"
"The number of bodily injury [[cases]] [[quadrupled]] in 2000-2006 .","The number of bodily injury [[encase]] [[quadruple]] in 2000-2006 .",0.0021710991859436035,0.9972891211509705,0,1,0,83,"Successful"
"`` The sale of the oxygen measurement business strengthens our [[goal]] to [[focus]] on our chosen market segments .","`` The sale of the oxygen measurement business strengthens our [[finish]] to [[sharpen]] on our chosen market segments .",0.0010803937911987305,0.9995975494384766,1,2,1,79,"Successful"
"The [[product]] [[range]] [[includes]] marinated olives , [[cold]] [[cuts]] , and [[pates]] , for [[example]] .","The [[intersection]] [[stray]] [[admit]] marinated olives , [[stale]] [[hack]] , and [[pate]] , for [[exercise]] .",0.0006621479988098145,0.005025625228881836,1,1,1,221,"Failed"
"It is [[also]] [[7]].[[7]] [[pct]] above the 12-month [[volume]] [[weighted]] [[average]] [[price]] of the [[stock]] .","It is [[too]] [[sevener]].[[VII]] [[percent]] above the 12-month [[loudness]] [[weight]] [[fair]] [[terms]] of the [[pedigree]] .",0.0006064176559448242,0.30918174982070923,2,2,2,174,"Failed"
"It 's `` finger-friendly '' , and to my opinion , [[really]] [[fast]] .","It 's `` finger-friendly '' , and to my opinion , [[truly]] [[degraded]] .",0.0015276074409484863,0.8630989789962769,1,0,1,63,"Successful"
"One of Uponor 's [[promising]] future products is a hydronic cooling system .","One of Uponor 's [[call]] future products is a hydronic cooling system .",0.0006769895553588867,0.9977734684944153,2,1,2,61,"Successful"
"He wore a [[black]] beanie-type cap and a [[black]] jacket .","He wore a [[disastrous]] beanie-type cap and a [[disgraceful]] jacket .",0.000795900821685791,0.9480172395706177,1,0,1,173,"Successful"
"[[Operating]] [[profit]] [[totaled]] EUR [[3]].[[8]] [[mn]] , down from EUR [[4]].[[5]] [[mn]] in the [[corresponding]] [[period]] in 2005 .","[[operational]] [[gain]] [[come]] EUR [[deuce-ace]].[[VIII]] [[Minnesota]] , down from EUR [[quadruplet]].[[quintet]] [[MN]] in the [[comparable]] [[flow]] in 2005 .",0.0013731718063354492,0.45776820182800293,0,0,0,223,"Failed"
"Kemira 's [[R]]&[[D]] [[organization]] [[comprises]] [[approximately]] 750 [[people]] , the [[company]] [[said]] .","Kemira 's [[r]]&[[d]] [[brass]] [[be]] [[around]] 750 [[multitude]] , the [[troupe]] [[articulate]] .",0.0004507899284362793,0.02650243043899536,1,1,1,123,"Failed"
"Exel Composites ' long-term [[growth]] [[prospects]] remain [[favourable]] , [[however]] .","Exel Composites ' long-term [[ontogeny]] [[prognosis]] remain [[lucky]] , [[withal]] .",0.000771641731262207,0.9672666788101196,2,1,2,77,"Successful"
"The issuer is solely [[responsible]] for the [[content]] of this announcement .","The issuer is solely [[creditworthy]] for the [[capacity]] of this announcement .",0.0005248188972473145,0.9814457893371582,1,2,1,29,"Successful"
"STUK today is a [[full]] service house [[expert]] in radiation and nuclear safety issues .","STUK today is a [[good]] service house [[skillful]] in radiation and nuclear safety issues .",0.0009472966194152832,0.5508970022201538,1,2,1,106,"Successful"
"In the survey , Goodyear is the third most [[valued]] tyre brand , [[followed]] by Continental and Bridgestone .","In the survey , Goodyear is the third most [[esteem]] tyre brand , [[observe]] by Continental and Bridgestone .",0.0011403560638427734,0.7232434749603271,1,2,1,109,"Successful"
"Also , Technopolis [[plans]] to [[build]] a [[100]] [[million]] euro technology [[park]] at the [[special]] [[economic]] [[zone]] Neudorf in St. Petersburg , the St. Petersburg government [[said]] in February .","Also , Technopolis [[design]] to [[body-build]] a [[hundred]] [[zillion]] euro technology [[green]] at the [[exceptional]] [[economical]] [[zona]] Neudorf in St. Petersburg , the St. Petersburg government [[order]] in February .",0.001507401466369629,0.28302621841430664,1,1,1,173,"Failed"
"The latest result included per-share [[charges]] of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .","The latest result included per-share [[complaint]] of 5 cents for stock compensation , 1 cent for research and development and 1 cent for strategic investments .",0.0006104707717895508,0.9704062938690186,1,0,1,213,"Successful"
"Our [[customers]] [[come]] from the [[following]] countries : UK , USA , Spain , France , [[Italy]] , [[Germany]] , China , Hong Kong , Sweden , [[Norway]] , Netherlands , [[Austria]] , Belgium , [[Switzerland]] , Czech Republic , [[Finland]] , Canada , Russia , Ukraine , Denmark , [[Ireland]] , [[South]] Korea and Liechtenstein .","Our [[customer]] [[arrive]] from the [[next]] countries : UK , USA , Spain , France , [[Italia]] , [[FRG]] , China , Hong Kong , Sweden , [[Noreg]] , Netherlands , [[Oesterreich]] , Belgium , [[Svizzera]] , Czech Republic , [[Suomi]] , Canada , Russia , Ukraine , Denmark , [[Hibernia]] , [[Dixieland]] Korea and Liechtenstein .",0.000614166259765625,0.0011345148086547852,1,1,1,208,"Failed"
"In 2005 the bank posted a [[net]] profit of Lt 8.2 mn .","In 2005 the bank posted a [[sack]] profit of Lt 8.2 mn .",0.0007510781288146973,0.8669003248214722,1,0,1,86,"Successful"
